"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"POU6F2",65.5104373233924,1.58841690423042,0.474432268788745,3.34803724098647,0.00081386074125379,0.0125106733098442
"PSMA2",25.1996412544019,2.47503200618045,0.822233540120871,3.01013262705948,0.00261133635943419,0.0274519201413063
"CCN6",43.9154407910334,2.56845035256698,0.74492351120455,3.44793836405266,0.000564882927856967,0.00973184272202705
"ALDH8A1",78.6128540806103,2.60916474302724,0.539369951109403,4.83743066824649,1.31528240800158e-06,0.000147109784993298
"NPY",230.161953110329,1.91963153920772,0.546508159762738,3.51253957496465,0.000443845898222965,0.00826960203675689
"COL10A1",8.47313848692876,2.33138262012394,0.716710146034074,3.25289467858755,0.00114235829988423,0.0158175835037704
"TAS2R5",14.085466378769,3.11029874583631,1.09380416244348,2.84356089749021,0.00446124831199551,0.038830072638401
"CPA4",6.0806875348893,2.5536696591951,0.868149369249363,2.94150954852747,0.00326616772854937,0.0315760719765506
"DMTF1",956.137091747154,1.62275050482774,0.291311712528921,5.57049522911522,2.54016272772611e-08,8.48109531533193e-06
"CEP162",104.028191359957,2.46453475403444,0.464349065531182,5.30750449818434,1.11136263961024e-07,2.47374505408712e-05
"MYO1G",49.8917253907036,1.66079134374797,0.573536436313993,2.89570328682438,0.00378309911164808,0.0348391790907215
"CRIP3",50.3259921495433,1.64951721254403,0.532575470146713,3.09724593979069,0.00195327746816386,0.0224110062223557
"MTFR2",7.75986470152388,2.6715991565429,0.85350801656623,3.13013950037761,0.00174723308336868,0.0209542450386184
"ZC3HAV1L",14.2302601511628,-1.5558574260243,0.558639038286952,-2.78508539395186,0.00535136278189063,0.0441818250647291
"SYCP2L",20.7103015847556,3.26322546466694,0.69097885308717,4.7226126387044,2.32834058955036e-06,0.000228643045893846
"CPA2",4.13131797270895,3.94065952092269,1.11377368205597,3.53811513452933,0.000402994294825288,0.00775067598826424
"NOS3",106.936452920793,-2.18074532981839,0.46866074372591,-4.65314272426831,3.26913800691403e-06,0.000282771968328615
"SUMO4",2.54239147696166,3.16646545112911,1.14874957356083,2.75644537678814,0.00584333716201896,0.0467859331332108
"ZNF713",14.3608316612053,-1.50395673230813,0.539398437057924,-2.7882111422333,0.00529999885574741,0.0438879865564719
"H4C3",7.92129783575417,-3.43718681988281,1.19527329635654,-2.87564930159498,0.00403197411123129,0.0363247575892581
"KEL",28.0596396210892,1.80559424084579,0.644792748048355,2.80027070141674,0.00510597683669015,0.04281224375274
"LRRC73",214.94424749953,-1.8556407893109,0.397109206539683,-4.67287274823095,2.97015803340501e-06,0.000266579667793888
"COL28A1",23.7128488537254,2.46630064591998,0.55906074736412,4.41150743912569,1.02653426757927e-05,0.00059092976079201
"ZKSCAN8P1",50.9897909426651,1.78349062212166,0.442267331186155,4.03260764781871,5.51613332361537e-05,0.00196910834877241
"CYP21A2",19.021428471543,3.09672150326965,0.846779429612017,3.65705801886157,0.000255126649098547,0.00567877904006818
"OR2I1P",2.20265675439411,4.27536129935079,1.32390429903577,3.22935827194204,0.00124068359573394,0.016770827487597
"H3C6",57.5389675502607,2.08059772719214,0.628727331361846,3.3092210619912,0.000935559368999542,0.0137726879242314
"PRICKLE4",10.3039542259618,2.42288559786762,0.665882755114943,3.63860691579163,0.000274116825043544,0.00595072337747325
"SLC38A5",397.243835545909,-1.6107809186979,0.445127183943495,-3.61869815369976,0.00029608874308807,0.00630472637386765
"RBM41",234.693124153514,1.51466264678794,0.319334487206473,4.74318530403074,2.10383659708355e-06,0.000210308072764747
"VSIG1",2.71273822518261,3.03346359948344,1.06324992528203,2.85301087482212,0.00433071395160701,0.0380911162845772
"RHOXF1",53.1042881230726,1.58400824671812,0.556137949870897,2.84822901779286,0.00439632752903056,0.0384375859253207
"PAGE4",1.41753063911903,-4.15440390513217,1.50620443944539,-2.7581939053784,0.00581217098008421,0.0465587247320182
"PHEX",63.0471663974424,1.60507420745963,0.518098221642867,3.09801142024771,0.00194823920797107,0.0223685731347104
"VGF",1311.48965134505,-1.86660431981931,0.577457989341992,-3.23245041937387,0.00122733432105056,0.016657820451722
"LRRC17",25.1712094270978,2.54417734475038,0.583581244949654,4.35959408697219,1.30303920706356e-05,0.000684054607632673
"POMZP3",233.535151187401,-1.51006293273985,0.41479553911069,-3.64049945179588,0.000272109687105416,0.0059297253017584
"ZNF182",119.260712704636,1.52299498101083,0.3982868128394,3.82386494333906,0.000131375897127823,0.0036371297291076
"GPC3",21.3964021831995,-2.08438085936982,0.665754418321642,-3.13085546563027,0.00174297919606001,0.0209182564335197
"GNRH1",138.36982683175,1.88925771231332,0.512961244341104,3.68304181486472,0.000230467337382595,0.00530678859346901
"DOCK5",456.852725244531,1.63867229362598,0.382968777890193,4.2788665505673,1.8784743986804e-05,0.000869997619575121
"PXDNL",9.58369558065101,2.63783146981916,0.892551085958199,2.9553843038433,0.00312279796943581,0.0308216883373464
"NAT2",3.9284076360523,-3.75141000782603,1.32924236418912,-2.8222167069694,0.00476929377766217,0.0406424657091844
"ALAS2",15.6913255212941,-5.90808058320641,1.18323298520697,-4.99316758159252,5.93969761478448e-07,8.65454572745821e-05
"SOX17",65.794766303296,-1.87467166577322,0.643542256299084,-2.91305139238902,0.00357915691421554,0.0336243362554385
"DEFB1",14.9819606949739,-4.68199861727535,1.24572095934261,-3.7584649934333,0.0001709589512547,0.00433078715060086
"CFAP47",6.23810898706981,4.07111540369069,1.33265781094747,3.05488428480848,0.00225147371479923,0.0247713813145002
"VEGFD",31.3408303647876,1.90784599432132,0.47071453829319,4.05308491477481,5.05466449789157e-05,0.0018627498703709
"INTS6L",495.338997876507,1.56781555172492,0.376684217857605,4.1621482329201,3.15267577809442e-05,0.00128996983920363
"MAGEC3",4.21411100295331,3.33589321526512,1.21781492061434,2.73924482185051,0.00615804980527875,0.0486424416607562
